station,city,datetime,predicted_aqi
2,0,2026-01-01 06:00:00,461.0089587733759
2,0,2026-01-01 07:00:00,461.0089587733759
2,0,2026-01-01 08:00:00,461.0089587733759
2,0,2026-01-01 09:00:00,461.0089587733759
2,0,2026-01-01 10:00:00,464.7154850081117
2,0,2026-01-01 11:00:00,464.7154850081117
2,0,2026-01-01 12:00:00,464.7154850081117
2,0,2026-01-01 13:00:00,464.8739465465732
2,0,2026-01-01 14:00:00,464.8739465465732
2,0,2026-01-01 15:00:00,464.8739465465732
2,0,2026-01-01 16:00:00,467.95005476658486
2,0,2026-01-01 17:00:00,467.95005476658486
2,0,2026-01-01 18:00:00,467.95005476658486
2,0,2026-01-01 19:00:00,467.95005476658486
2,0,2026-01-01 20:00:00,467.95005476658486
2,0,2026-01-01 21:00:00,467.48083348399155
2,0,2026-01-01 22:00:00,467.48083348399155
2,0,2026-01-01 23:00:00,467.48083348399155
3,1,2026-01-01 00:00:00,482.0521410196909
3,1,2026-01-01 01:00:00,482.0521410196909
3,1,2026-01-01 02:00:00,482.0521410196909
3,1,2026-01-01 03:00:00,482.0521410196909
3,1,2026-01-01 04:00:00,482.0521410196909
3,1,2026-01-01 05:00:00,482.0521410196909
3,1,2026-01-01 06:00:00,482.0521410196909
3,1,2026-01-01 07:00:00,482.0521410196909
3,1,2026-01-01 08:00:00,482.0521410196909
3,1,2026-01-01 09:00:00,482.0521410196909
3,1,2026-01-01 10:00:00,458.675561245495
3,1,2026-01-01 11:00:00,458.675561245495
3,1,2026-01-01 12:00:00,458.675561245495
3,1,2026-01-01 13:00:00,458.675561245495
3,1,2026-01-01 14:00:00,458.675561245495
3,1,2026-01-01 15:00:00,458.675561245495
3,1,2026-01-01 16:00:00,469.04518508015434
3,1,2026-01-01 17:00:00,469.04518508015434
3,1,2026-01-01 18:00:00,469.04518508015434
3,1,2026-01-01 19:00:00,469.04518508015434
3,1,2026-01-01 20:00:00,469.04518508015434
3,1,2026-01-01 21:00:00,468.71518508015436
3,1,2026-01-01 22:00:00,468.71518508015436
3,1,2026-01-01 23:00:00,468.71518508015436
4,1,2026-01-01 00:00:00,474.71971216171335
4,1,2026-01-01 01:00:00,474.71971216171335
4,1,2026-01-01 02:00:00,474.71971216171335
4,1,2026-01-01 03:00:00,474.71971216171335
4,1,2026-01-01 04:00:00,474.71971216171335
4,1,2026-01-01 05:00:00,474.71971216171335
4,1,2026-01-01 06:00:00,474.71971216171335
4,1,2026-01-01 07:00:00,474.71971216171335
4,1,2026-01-01 08:00:00,474.71971216171335
4,1,2026-01-01 09:00:00,474.71971216171335
4,1,2026-01-01 10:00:00,456.30094123683836
4,1,2026-01-01 11:00:00,456.30094123683836
4,1,2026-01-01 12:00:00,456.30094123683836
4,1,2026-01-01 13:00:00,456.30094123683836
4,1,2026-01-01 14:00:00,456.30094123683836
